age,education,work_age,address,income,credit_card,other_credit,violate_contact
34,2,9,7,27.00,1.70,0.30,0.16,0
32,2,5,5,43.00,15.00,1.81,4.64,1
42,2,18,23,66.00,9.60,1.64,4.69,0
24,1,3,0,14.00,16.10,0.84,1.42,1
34,1,16,9,48.00,7.60,1.47,2.17,0
26,1,10,2,32.00,4.70,0.13,1.38,0
30,2,12,9,68.00,20.10,2.86,10.81,0
32,1,4,3,16.00,28.50,0.89,3.67,1
38,3,13,18,25.00,5.70,0.34,1.08,0
43,2,10,24,37.00,8.50,0.68,2.47,0
31,2,9,8,53.00,13.50,1.19,5.96,0
37,4,10,18,123.00,17.30,3.02,18.26,0
37,2,4,11,20.00,21.70,0.17,4.17,1
41,3,12,11,86.00,26.50,4.99,17.80,1
32,1,0,4,20.00,3.00,0.26,0.34,1
22,2,0,1,35.00,9.00,0.78,2.37,1
32,2,12,3,63.00,18.20,5.55,5.92,0
47,2,17,23,41.00,9.50,0.46,3.44,0
40,1,21,21,46.00,6.20,0.97,1.89,0
31,1,8,1,22.00,6.70,0.37,1.10,0
34,3,7,0,27.00,2.20,0.13,0.47,0
52,4,13,17,234.00,7.70,7.39,10.63,0
28,1,2,2,17.00,2.50,0.20,0.23,1
38,3,15,18,63.00,13.40,5.09,3.35,0
33,2,10,4,26.00,3.10,0.03,0.78,0
39,2,9,12,32.00,6.60,1.43,0.68,0
47,3,23,11,115.00,4.00,0.65,3.95,0
36,2,11,8,49.00,1.30,0.27,0.36,0
29,3,7,2,84.00,13.60,6.91,4.51,1
48,4,14,10,59.00,16.50,4.94,4.80,1
38,3,12,18,64.00,5.80,0.89,2.82,0
46,2,9,26,15.00,4.30,0.01,0.63,0
27,3,5,4,42.00,19.90,2.71,5.65,1
54,1,18,34,114.00,8.50,3.29,6.40,0
27,4,0,0,25.00,12.70,1.42,1.76,1
23,1,1,0,17.00,1.60,0.01,0.26,0
41,1,23,2,91.00,13.70,0.57,11.89,0
24,1,3,5,15.00,11.30,0.07,1.62,1
28,1,9,0,22.00,27.70,5.28,0.81,1
26,1,0,0,14.00,10.50,0.26,1.21,0
24,1,8,0,17.00,5.60,0.57,0.38,1
49,2,22,4,79.00,7.30,0.29,5.48,0
28,2,3,1,36.00,8.60,0.38,2.71,0
38,1,6,17,18.00,13.00,0.13,2.21,0
33,2,2,9,37.00,4.50,0.83,0.83,0
26,1,8,4,25.00,4.70,0.21,0.96,0
36,1,9,1,40.00,9.80,1.98,1.94,0
37,3,16,14,50.00,36.60,7.32,10.98,1
25,4,0,1,18.00,33.40,2.80,3.21,1
29,1,9,2,33.00,4.80,0.69,0.89,0
27,2,8,4,38.00,6.90,0.36,2.26,0
45,1,17,0,62.00,15.00,2.44,6.86,0
37,1,9,8,57.00,5.50,1.36,1.78,0
29,2,3,6,26.00,6.10,0.54,1.05,1
51,1,10,1,44.00,13.20,4.96,0.85,1
22,3,0,0,23.00,8.40,0.37,1.56,1
30,4,7,10,30.00,15.70,0.26,4.45,0
31,1,7,2,20.00,12.30,0.11,2.35,0
28,1,2,0,18.00,14.80,1.94,0.72,1
35,1,10,16,39.00,5.70,0.22,2.01,0
25,4,1,1,34.00,8.50,0.13,2.76,1
32,2,5,0,28.00,14.80,2.59,1.55,1
33,1,2,10,24.00,9.60,1.04,1.26,0
28,2,3,4,41.00,25.10,5.90,4.39,1
46,3,4,17,73.00,5.40,2.22,1.72,0
41,1,24,12,83.00,14.00,6.59,5.03,0
42,2,11,5,73.00,6.80,2.87,2.09,0
41,4,9,13,47.00,5.00,0.44,1.91,0
26,1,3,5,29.00,25.70,2.53,4.93,1
47,1,27,8,113.00,9.20,2.38,8.02,0
29,1,1,3,18.00,25.60,1.98,2.63,1
34,1,3,14,36.00,4.70,0.62,1.07,0
36,1,7,2,43.00,6.20,1.04,1.63,0
38,2,7,4,64.00,3.00,0.65,1.27,0
41,2,4,14,26.00,19.20,1.47,3.52,1
46,1,9,23,31.00,13.80,1.62,2.66,0
40,3,3,15,55.00,16.50,1.75,7.32,1
44,2,17,0,129.00,2.50,0.55,2.67,0
35,3,10,15,39.00,10.40,1.60,2.45,0
36,1,20,15,60.00,5.40,1.06,2.18,0
28,2,0,3,30.00,4.80,0.12,1.32,1
29,2,6,7,18.00,5.10,0.45,0.47,1
23,2,3,3,22.00,11.40,1.27,1.23,1
41,2,7,17,63.00,15.40,4.64,5.06,0
25,1,1,1,19.00,6.90,0.19,1.12,0
45,2,2,19,29.00,5.40,0.44,1.12,0
48,2,30,14,148.00,7.20,3.97,6.68,0
38,1,18,7,45.00,7.00,0.54,2.61,0
29,1,6,4,46.00,5.40,1.17,1.31,0
42,4,15,8,186.00,3.60,2.40,4.29,0
31,1,11,12,47.00,10.90,2.86,2.26,0
40,1,3,13,23.00,6.90,0.41,1.18,0
26,1,2,6,21.00,19.80,1.02,3.14,0
25,1,6,6,22.00,20.20,2.26,2.18,0
53,4,7,11,61.00,7.90,1.87,2.94,0
50,3,18,27,102.00,14.10,5.78,8.60,0
47,1,31,9,136.00,23.10,14.23,17.18,1
23,1,1,0,21.00,8.40,1.21,0.55,1
37,3,12,8,83.00,4.10,0.32,3.08,0
41,1,24,15,100.00,11.50,5.06,6.44,0
28,2,0,7,29.00,13.30,2.15,1.71,1
31,1,7,11,41.00,30.70,3.00,9.59,1
41,2,6,1,19.00,6.30,0.12,1.07,0
36,1,7,17,40.00,9.90,1.69,2.27,0
41,1,1,16,19.00,4.40,0.24,0.59,0
53,2,16,31,44.00,5.60,1.33,1.13,0
31,2,6,5,25.00,11.50,2.33,0.54,0
28,2,5,6,25.00,2.90,0.34,0.39,0
48,1,28,25,70.00,12.00,4.33,4.07,0
23,2,0,1,42.00,3.90,1.02,0.62,1
31,1,11,6,34.00,6.80,0.30,2.01,0
27,1,6,6,43.00,4.90,0.88,1.22,0
43,1,11,17,37.00,1.30,0.18,0.30,0
29,2,5,7,28.00,18.70,2.13,3.11,0
53,1,6,7,27.00,6.40,0.59,1.13,1
38,1,4,9,19.00,13.60,1.25,1.34,0
30,1,12,10,38.00,8.50,0.17,3.06,0
28,3,2,0,20.00,9.40,0.23,1.65,1
36,1,11,2,33.00,32.50,1.27,9.46,0
48,1,15,5,60.00,2.10,0.32,0.94,0
31,1,12,9,24.00,6.60,0.44,1.14,0
35,1,16,10,57.00,10.50,1.14,4.84,0
50,1,4,4,23.00,12.50,0.14,2.73,0
42,2,12,9,55.00,15.00,2.53,5.72,0
40,1,2,3,28.00,7.10,0.18,1.80,0
37,2,0,13,31.00,0.90,0.12,0.16,1
31,3,6,8,54.00,2.80,0.40,1.11,0
38,1,11,13,35.00,8.00,1.27,1.53,0
35,1,15,1,77.00,10.60,5.50,2.66,0
44,1,24,10,101.00,5.60,2.99,2.66,0
44,2,21,14,113.00,13.20,3.19,11.72,0
33,1,0,12,23.00,0.90,0.08,0.13,0
35,1,7,14,29.00,4.90,0.26,1.16,0
36,3,10,4,43.00,13.00,0.96,4.63,0
23,2,3,4,24.00,6.30,0.55,0.96,0
27,1,0,7,18.00,12.80,0.58,1.72,0
34,1,6,1,20.00,1.20,0.04,0.20,0
35,1,0,5,34.00,11.10,1.37,2.40,1
24,2,4,4,20.00,3.70,0.32,0.42,0
48,1,30,8,101.00,6.40,1.87,4.59,0
26,2,8,1,40.00,11.80,0.44,4.28,0
40,1,6,9,36.00,2.10,0.39,0.37,1
34,1,9,8,48.00,9.30,0.42,4.04,0
35,1,17,4,42.00,3.00,0.09,1.17,0
30,1,7,2,33.00,25.40,1.17,7.22,1
20,1,4,0,14.00,9.70,0.20,1.16,1
36,4,1,17,30.00,11.50,0.32,3.13,0
21,1,1,1,16.00,6.30,0.14,0.87,0
34,1,18,10,53.00,10.50,0.84,4.72,0
35,1,7,5,39.00,16.10,1.70,4.58,1
35,3,1,4,20.00,7.90,0.85,0.73,0
34,1,10,1,33.00,10.30,2.50,0.90,1
33,1,12,12,68.00,10.80,1.37,5.98,0
30,1,4,2,18.00,10.70,0.23,1.70,0
24,2,0,5,16.00,7.30,0.02,1.14,0
47,1,31,8,253.00,7.20,9.31,8.91,0
53,1,0,26,27.00,28.90,2.75,5.05,1
22,3,0,2,20.00,4.70,0.22,0.72,0
48,2,6,1,66.00,12.10,2.32,5.67,0
36,2,6,15,27.00,4.60,0.26,0.98,1
29,2,6,4,21.00,11.50,0.37,2.05,0
33,1,15,3,32.00,7.60,0.49,1.94,0
45,1,19,22,77.00,8.40,2.30,4.17,0
37,1,12,14,44.00,14.70,2.99,3.47,0
